#Density%	SparseWorkHigh	SparseWorkTight	DenseWork
0.000	131073	131251	8594194398
0.010	86898751	86464953	11428806987
0.020	175437198	173671992	14263419577
0.030	265801180	261773472	17098032166
0.040	358047745	350787933	19932644756
0.050	452236343	440734493	22767257345
0.060	548428954	531632880	25601869935
0.070	646690222	623506816	28436482525
0.080	747087606	716370637	31271095114
0.090	849691525	810249377	34105707704
0.100	954575532	905165465	36940320293
0.110	1061816482	1001142085	39774932883
0.120	1171494727	1098203203	42609545473
0.130	1283694311	1196377199	45444158062
0.140	1398503187	1295682582	48278770652
0.150	1516013449	1396149451	51113383241
0.160	1636321574	1497805297	53947995831
0.170	1759528690	1600678600	56782608420
0.180	1885740857	1704798876	59617221010
0.190	2015069375	1810200583	62451833600
0.200	2147631105	1916907795	65286446189
0.210	2283548829	2024957264	68121058779
0.220	2422951622	2134383189	70955671368
0.230	2565975267	2245221091	73790283958
0.240	2712762693	2357507888	76624896548
0.250	2863464449	2471281960	79459509137
0.260	3018239226	2586587461	82294121727
0.270	3177254408	2703457560	85128734316
0.280	3340686679	2821939701	87963346906
0.290	3508722675	2942078979	90797959495
0.300	3681559700	3063922407	93632572085
0.310	3859406493	3187519027	96467184675
0.320	4042484075	3312924626	99301797264
0.330	4231026659	3440183546	102136409854
0.340	4425282655	3569356194	104971022443
0.350	4625515758	3700501009	107805635033
0.360	4832006146	3833679145	110640247623
0.370	5045051784	3968954648	113474860212
0.380	5264969862	4106399677	116309472802
0.390	5492098369	4246074629	119144085391
0.400	5726797826	4388058349	121978697981
0.410	5969453197	4532428447	124813310570
0.420	6220475994	4679266515	127647923160
0.430	6480306609	4828658400	130482535750
0.440	6749416889	4980700091	133317148339
0.450	7028312997	5135475821	136151760929
0.460	7317538590	5293091615	138986373518
0.470	7617678357	5453653651	141820986108
0.480	7929361961	5617274177	144655598698
0.490	8253268452	5784071978	147490211287
0.500	8590131202	5954179150	150324823877
0.510	8940743452	6127716791	153159436466
0.520	9305964546	6304832759	155994049056
0.530	9686726963	6485677735	158828661645
0.540	10084044268	6670412123	161663274235
0.550	10499020120	6859206907	164497886825
0.560	10932858510	7052244597	167332499414
0.570	11386875430	7249727561	170167112004
0.580	11862512204	7451850310	173001724593
0.590	12361350771	7658843926	175836337183
0.600	12885131267	7870948977	178670949773
0.610	13435772300	8088424311	181505562362
0.620	14015394441	8311548946	184340174952
0.630	14626347509	8540632676	187174787541
0.640	15271242413	8775984964	190009400131
0.650	15952988455	9017967720	192844012720
0.660	16674837206	9266965396	195678625310
0.670	17440434365	9523396881	198513237900
0.680	18253881347	9787719743	201347850489
0.690	19119808779	10060445221	204182463079
0.700	20043464707	10342103961	207017075668
0.710	21030821044	10633312199	209851688258
0.720	22088702833	10934740271	212686300848
0.730	23224946237	11247131672	215520913437
0.740	24448592979	11571314101	218355526027
0.750	25770131460	11908225181	221190138616
0.760	27201798148	12258878894	224024751206
0.770	28757957592	12624458372	226859363795
0.780	30455586076	13006290970	229693976385
0.790	32314893463	13405889379	232528588975
0.800	34360131589	13824987823	235363201564
0.810	36620657939	14265603994	238197814154
0.820	39132353883	14730031972	241032426743
0.830	41939543468	15221012609	243867039333
0.840	45097631750	15741767187	246701651923
0.850	48676798471	16296141250	249536264512
0.860	52767274723	16888777116	252370877102
0.870	57487055013	17525350432	255205489691
0.880	62993465352	18212927647	258040102281
0.890	69501041208	18960340199	260874714870
0.900	77310132234	19779037624	263709327460
0.910	86854576822	20684065108	266543940050
0.920	98785132557	21695799026	269378552639
0.930	114124418501	22842807287	272213165229
0.940	134576799761	24166981636	275047777818
0.950	163210133524	25733093706	277882390408
0.960	206160134169	27649858250	280717002998
0.970	277743468577	30120994011	283551615587
0.980	420910137394	33603855055	286386228177
0.990	850410143844	39557805146	289220840766
